小区名称,均价,区域,板块,地址,物业公司,开发商,楼栋总数,房屋总数,经度_百度坐标,纬度_百度坐标,经度_WGS1984坐标,纬度_WGS1984坐标,metro,year,buildingType,propertyExpense
翠林雅居,14608,东西湖,将军路,(东西湖将军路)将军路198号,广州广电物业管理有限公司武汉分公司,武汉兆麟房地产开发有限公司,12,1226,114.2641,30.651778,114.25222092711,30.6480073942748,0,2006,3,0.6
将军花园,14610,东西湖,将军路,"(东西湖将军路)姑李路179号, 银花街49号",武汉兆麟置业下属物管公司,武汉太平洋置业有限公司,35,1638,114.257358,30.656229,114.245499397611,30.652375660943,2,1998,1,0.6
白马馨居二期,14611,洪山,青山,(洪山青山)欢乐大道白马馨居二期,武汉市宏伟物业管路有限公司,暂无信息,6,732,114.429582,30.605674,114.417456979221,30.6022899285583,0,0,0,-1.0
艺术研究院宿舍,14612,武昌,首义,(武昌首义)紫阳路243号,暂无信息,暂无信息,3,56,114.31694,30.539453,114.30491605806,30.5361750032904,4,0,1,-1.0
宏盛公寓,14614,洪山,街道口,(洪山街道口)广八路34号,暂无信息,暂无信息,1,77,114.370157,30.534031,114.358215505719,30.5300271004915,2,0,1,-1.0
越秀星汇君泊越天地,14615,江岸,塔子湖,(江岸塔子湖)塔子湖东路越秀星汇君泊越天地,越秀（武汉）物业服务有限公司,武汉越秀嘉润房地产开发有限公司,7,1941,114.287636,30.656997,114.275655331564,30.6536086269946,8,2016,3,2.9
南湖狮山美庐,14616,洪山,珞狮南路,(洪山珞狮南路)珞狮南路南湖狮山美庐,暂无信息,暂无信息,3,265,114.344961,30.484076,114.333024004742,30.480325044838,0,0,1,-1.0
新嘉园,14619,东湖高新,华科大,(东湖高新华科大)东湖新技术开发区关山三路特1号,武汉嘉泰物业管理有限公司,湖北新嘉园房地产开发有限公司,6,329,114.44164254199,30.510608887882,114.429551935905,30.5071666131117,0,2003,1,0.5
金湖家园,14626,东西湖,金银湖,(东西湖金银湖)金山大道152号,业主自筹物业,武汉房地产开发公司,64,1842,114.19338752997,30.639824229659,114.181225464316,30.636509279429,6,2004,1,0.5
南垸小区,14627,硚口,古田,(硚口古田)解放大道217号,武汉金博腾飞物业管理有限责任公司,无开发商,12,518,114.217491,30.599065,114.205513897809,30.5954764884216,1,2000,2,-1.0
桃花岛城市花园二期湖畔人家,14633,汉阳,七里庙,(汉阳七里庙)铁桥村墨水湖畔麒麟路,中航物业管理有限公司武汉分公司,武汉市汉阳住宅开发公司,6,330,114.23112738167,30.552958124464,114.219242988402,30.5491844130915,0,2002,1,0.3
合汇景苑,14633,汉阳,钟家村,(汉阳钟家村)鹦鹉大道448号,业主自筹物业,湖北合汇置业有限公司,9,989,114.266503,30.538376,114.254630654251,30.5346860262251,6,2008,2,1.0
青菱城市花园,14639,洪山,白沙洲,(洪山白沙洲)江大路53号,业主自筹物业,武汉市市政建设集团有限公司,65,3500,114.2837268021,30.477214556718,114.271797276449,30.4738363947366,0,2009,3,1.02
政府华电小区,14639,江岸,唐家墩,(江岸唐家墩)发展大道405号,业主自筹物业,无开发商,6,335,114.28612143674,30.627764289957,114.274141408542,30.6243642378209,8,1992,3,0.6
惠安小区,14640,东湖高新,关西长职,(东湖高新关西长职)关山村熊家咀180号,业主自筹物业,暂无信息,9,286,114.398899,30.500767,114.386833862563,30.4971197488047,0,2003,1,1.0
建桥新村1到183号,14645,汉阳,钟家村,(汉阳钟家村)建桥新村77-1号,业主自筹物业,武汉市汉阳区住宅开发公司,46,1767,114.27905452941,30.558004743562,114.267143340936,30.5545248298307,4,1993,1,0.7
青洲花园,14646,洪山,青山,(洪山青山) 祥丰路8号,暂无信息,暂无信息,5,196,114.384879,30.620758,114.372874919864,30.6168422019395,0,2001,3,0.8
莲溪寺社区,14650,武昌,武昌火车站,(武昌武昌火车站)武莲路莲溪寺社区,街道办事处（居委会）代管物业,无开发商,68,2564,114.33416631072,30.528032732664,114.322175249358,30.5244735035818,0,2000,3,0.6
惠济路2号,14655,江岸,台北香港路,(江岸台北香港路)惠济路2附12,暂无信息,暂无信息,1,15,114.292404,30.608491,114.280413862949,30.6051846497269,0,0,0,-1.0
华星融城,14656,东西湖,将军路,(东西湖将军路)姑李路88号,武汉美好物业管理有限公司,武汉华星房地产有限公司,4,639,114.260965,30.650091,114.249094161488,30.6462791249518,0,2014,1,1.9
威嘉白金领域,14657,江汉,长港路,(江汉长港路)发展大道183号,武汉市威宝房地产开发有限公司,武汉市威嘉物业开发管理有限公司,1,463,114.25759908444,30.620064500376,114.245739579944,30.6162279612507,2,2005,1,1.8
华苑社区,14660,江汉,杨汊湖,(江汉杨汊湖)红旗渠常青路华苑社区,无物业管理服务,无开发商,47,3164,114.26743426411,30.63349894574,114.255538715229,30.6297845711101,6,1996,1,-1.0
江达路28号,14665,江汉,常青路,(江汉常青路)江达路28号,暂无信息,暂无信息,2,61,114.234221,30.623311,114.222324216453,30.6194712481421,7,0,0,-1.0
高压小区,14666,东湖高新,华科大,(东湖高新华科大)鲁磨路216号,业主自筹物业,无开发商,11,390,114.40805121106,30.520004447346,114.395937972549,30.5164978049204,2,2002,1,0.45
杨春湖景苑,14671,洪山,洪山其它,(洪山洪山其它)友谊大道1387号,无物业管理服务,无开发商,18,1219,114.42224982006,30.625993787343,114.410099196826,30.622589156212,0,2010,3,1.3
俪湖天地,14676,江夏,文化大道,(江夏文化大道)文化大道与新华街交汇处（武汉长职学院旁）,武汉丽岛物业管理有限公司,武汉联投同城时代置业有限公司,17,2804,114.32048,30.411857,114.308465909687,30.408567465929,0,2010,3,1.8
现代花园A区,14676,青山,青山,(青山青山)和平大道769号,街道办事处（居委会）代管物业,武汉现代住宅开发有限公司,15,938,114.41376760934,30.625998356063,114.401628856624,30.6225273906911,0,1999,3,0.7
常青二垸,14677,江汉,杨汊湖,(江汉杨汊湖)常青五路常青二垸,无物业管理服务,无开发商,59,2961,114.26568805681,30.635042462153,114.25379877192,30.6313005572855,2,1992,1,-1.0
天下名苑,14677,江汉,台北香港路,(江汉台北香港路)长江日报路25号,无物业管理服务,武汉天下置业集团有限公司,1,24,114.281858,30.609819,114.269913519567,30.6063628653769,3,2006,1,-1.0
汉阳民主大楼,14680,汉阳,钟家村,(汉阳钟家村)北城路1号,无物业管理服务,无开发商,1,80,114.27713468279,30.555075495106,114.265230583147,30.5515628039189,4,1991,2,-1.0
锦绣人家,14683,江汉,长港路,(江汉长港路)红旗渠路8号,武汉天鼎源物业服务有限公司,湖北德大置业有限公司,14,1160,114.257804,30.629514,114.245938068899,30.6256742205197,2,2004,3,1.0
常青四垸,14684,江汉,杨汊湖,(江汉杨汊湖)新华下路杨汊湖常青四垸,街道办事处（居委会）代管物业,无开发商,18,655,114.26185828609,30.636122759915,114.249981178221,30.6323268123535,2,1990,1,0.5
江郡华府,14684,江夏,文化大道,(江夏文化大道)江夏文化路谭鑫培公园旁（区政府新址对面）,暂无信息,暂无信息,20,1909,114.330343,30.38082,114.318355093484,30.3773717974701,0,2007,3,1.38
青澳都市尚巢,14692,汉阳,王家湾,(汉阳王家湾)龙阳大道陶家岭（龙 阳大道与四 新南路交汇处）,深圳市彩生活物业管理有限公司武汉分公司,武汉市兴荣伟业贸易发展有限公司,2,838,114.193962,30.53698,114.181822097176,30.533704032223,3,2015,2,3.5
新华小路138号,14702,江汉,武广万松园,(江汉武广万松园)新华小路138号,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,1,20,114.276465,30.600106,114.264557261976,30.5965642951137,7,0,1,0.6
吉祥苑,14707,汉阳,七里庙,(汉阳七里庙)玫瑰街21号,街道办事处（居委会）代管物业,无开发商,9,210,114.223408,30.571673,114.211486699254,30.5680028236644,3,2000,1,1.2
高雄路91号,14709,江岸,台北香港路,(江岸台北香港路)高雄路91号,暂无信息,暂无信息,1,42,114.292813,30.604405,114.280825773871,30.6011057971152,6,0,0,-1.0
汉正街第一大道,14710,硚口,汉正街,(硚口汉正街)多福路,武汉市第一大道物业管理有限责任公司,无开发商,3,489,114.28466,30.568508,114.272727390857,30.5651182189497,6,2003,3,5.9
汉江阳光城,14724,汉阳,王家湾,(汉阳王家湾)二桥路19号,武汉金泰物业管理有限公司,暂无信息,1,493,114.218063,30.570129,114.206104103913,30.5665450533061,3,2004,2,0.6
顺鑫公寓,14724,江岸,黄埔永清,(江岸黄埔永清)黄浦大街232号,业主自筹物业,无开发商,1,42,114.30756616028,30.624845380725,114.295523637438,30.6215975393436,8,2006,1,0.8
永清小路17号,14729,江岸,黄埔永清,(江岸黄埔永清)永清小路17号,无物业管理服务,无开发商,1,36,114.30679334686,30.62243627222,114.294753156902,30.6191914675031,8,1993,1,0.6
开来都市丰景,14730,汉阳,四新,(汉阳四新)芳草路与四新南路的交汇处,武汉港联物业有限公司,武汉龙河置业有限公司,6,1356,114.20582,30.528171,114.193743349947,30.5247823913171,0,2016,1,3.75
庭瑞新汉口,14731,东西湖,金银湖,(东西湖金银湖)马池中路庭瑞新汉口,香港戴德梁行物业管理有限公司,家美天晟武汉置业发展有限公司,14,3163,114.231229,30.665139,114.219327877667,30.6613174207564,0,2010,3,4.0
高才里,14733,江岸,唐家墩,(江岸唐家墩)黄孝河路101号,业主自筹物业,无开发商,4,192,114.29156155132,30.626911274165,114.279558501749,30.6235840180874,8,1991,1,-1.0
西江月厦,14738,硚口,古田,(硚口古田)古田四路西江月厦,业主自筹物业,武汉铁桥房地产开发有限公司,1,60,114.21777218795,30.592482176985,114.205803407536,30.5888931210598,1,2004,3,0.8
中城时代商业街,14742,黄陂,盘龙城,(黄陂盘龙城)巨龙大道55号,武汉招商局物业管理有限公司,武汉锦万佳置业有限公司,4,531,114.292332,30.709561,114.280350346235,30.7062137156128,0,2012,1,1.9
新城印象,14746,汉阳,四新,(汉阳四新)四新北路新城印象,暂无信息,暂无信息,5,392,114.243834,30.523635,114.231976162037,30.5197736792646,0,2011,1,0.6
教育电视台宿舍,14747,江汉,CBD西北湖,(江汉CBD西北湖)常青路58号,暂无信息,暂无信息,1,14,114.257617,30.617912,114.245759321227,30.6140769704346,0,0,0,-1.0
亿达华庭,14751,东西湖,吴家山,(东西湖吴家山)五环大道8号,武汉美好愿京物业管理有限公司,武汉东阳房地产开发有限公司,2,416,114.14516618798,30.625785242446,114.133013334906,30.6218818705679,1,2007,2,-1.0
马家社区,14752,硚口,集贤,(硚口集贤)汉正街405号,无物业管理服务,无开发商,7,320,114.27014618069,30.572764832417,114.258282912839,30.5691284566649,6,1991,2,-1.0
上滑坡小区,14757,江岸,黄埔永清,(江岸黄埔永清)工农兵路18号,街道办事处（居委会）代管物业,武汉市住宅统建办公室,6,362,114.31263390277,30.623029737251,114.3005910259,30.6197579929637,8,1990,3,0.8
学苑社区,14764,硚口,宝丰崇仁,(硚口宝丰崇仁)建设大道809号,暂无信息,暂无信息,1,74,114.253404,30.5821,114.24158424348,30.5782516381139,1,2017,1,-1.0
工人村47到49号,14767,武昌,中南丁字桥,(武昌中南丁字桥)工人村47到49号,无物业管理服务,武汉市市政建设集团有限公司,1,36,114.33512,30.551249,114.323150768789,30.547668755807,2,0,1,-1.0
融泰嘉境,14770,东西湖,将军路,(东西湖将军路)银花街48号,暂无信息,暂无信息,2,222,114.259759,30.656257,114.247895502754,30.6524293217421,0,0,1,2.5
工农湾15到17号,14771,武昌,中南丁字桥,(武昌中南丁字桥)工农湾15到17号,无物业管理服务,无开发商,1,36,114.360019,30.538508,114.348091477592,30.5345338631084,2,0,1,-1.0
玫瑰园东村,14772,汉阳,七里庙,(汉阳七里庙)玫瑰街81号,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,21,721,114.221032,30.570728,114.209094264494,30.5670955844816,4,1995,3,0.6
城开星园,14772,江岸,堤角,(江岸堤角)堤角后湖路城开星园,武汉城开物业有限责任公司,武汉市鸿泰置业有限公司,31,1279,114.345683,30.66355,114.333728203308,30.6597196823414,1,2001,1,0.8
云鹤大厦,14773,武昌,首义,(武昌首义)首义路224号,暂无信息,武昌城市综合开发集团公司,1,135,114.314113,30.545923,114.302092519602,30.5426723728106,4,1998,2,0.8
菩提苑二期,14773,江夏,文化大道,(江夏文化大道)文化路菩提苑二期,武汉市平平安安物业管理有限公司,暂无信息,6,1242,114.332683,30.420788,114.320707007781,30.4172892119814,4,2014,1,1.5
民航小区,14774,江汉,长港路,(江汉长港路)民航里,业主自筹物业,武汉市市政建设集团有限公司,14,708,114.245539,30.634818,114.233673593411,30.6309133734148,2,1996,3,0.3
观湖园一期,14775,蔡甸,蔡甸其它,(蔡甸蔡甸其它)后官湖知音大道北段,和记黄埔物业公司,和记黄埔地产（武汉蔡甸）有限公司,11,135,114.090199,30.537573,114.077921882685,30.5339920101883,0,2012,1,2.5
武汉区检察院德福苑,14775,洪山,白沙洲,(洪山白沙洲)陆家街299号,暂无信息,暂无信息,1,84,114.306793,30.51694,114.294757609505,30.5137320198796,0,0,0,-1.0
远洋庄园,14777,江夏,庙山,(江夏庙山)阳光大道10号,暂无信息,暂无信息,62,752,114.3695420277,30.410830256882,114.357609675063,30.4068573061829,0,2000,1,2.15
金色港湾二期,14778,沌口开发区,沌口,(沌口开发区沌口)东风大道68号,暂无信息,新港房地产开发（武汉）有限公司,8,261,114.183805,30.520069,114.171621071151,30.5167990289244,3,2006,1,0.8
南国悦公馆,14778,武昌,中南丁字桥,(武昌中南丁字桥)民主路789号,业主自筹物业,武汉南国洪广置业发展有限公司,1,434,114.339843,30.551745,114.327889073404,30.5480711986761,2,2012,2,1.0
雨淋山庄,14784,汉阳,七里庙,(汉阳七里庙)罗七北路特1号,武汉一棉中合物业管理有限公司,武汉一棉房地产开发有限公司,11,602,114.23505907349,30.57120573866,114.22320455225,30.5673873289418,4,2005,1,0.6
金地本座,14788,东湖高新,关西长职,(东湖高新关西长职)荣院路与康泰路交汇处,湖北虹景物业管理有限公司,武汉市金地房地产开发有限公司,1,782,114.394639,30.50179,114.382594871877,30.4980690033332,0,2015,2,3.0
船检宿舍,14791,江岸,台北香港路,(江岸台北香港路)新华路320到328号,暂无信息,暂无信息,1,80,114.280952,30.597892,114.269024747016,30.5944286463184,7,0,1,-1.0
兆麟育龙湾,14795,东湖高新,光谷南,(东湖高新光谷南)光谷大道与高新六路交汇处,广州宏德物业管理有限公司,武汉兆麟房地产开发有限公司,10,906,114.43537936535,30.439988146271,114.423298506654,30.436632322817,0,2013,1,1.9
吴兴南村,14796,东西湖,吴家山,(东西湖吴家山)吴家山四明路,无物业管理服务,无开发商,26,1170,114.14977898157,30.630513777937,114.137614844426,30.6266876507829,1,2000,3,0.6
神龙白领宿舍,14797,沌口开发区,沌口,(沌口开发区沌口)体育路139号,暂无信息,暂无信息,1,168,114.180527,30.500633,114.16834432569,30.497350987016,0,0,0,-1.0
武汉职业技术学院东区,14797,东湖高新,关山大道,(东湖高新关山大道)关山大道463号,无物业管理服务,武汉市市政建设集团有限公司,5,183,114.422465,30.489622,114.410339787971,30.4862693771875,0,0,1,-1.0
台北路210到214号,14798,江汉,台北香港路,(江汉台北香港路)台北路212到214号,暂无信息,暂无信息,2,58,114.284152,30.605803,114.272200891487,30.602386509396,0,0,1,-1.0
武烟七里庙宿舍,14809,汉阳,七里庙,(汉阳七里庙)罗七路武烟七里庙宿舍,暂无信息,暂无信息,2,42,114.234865,30.565591,114.223007846859,30.5617758078349,4,1995,1,0.4
绿色家园,14818,江汉,杨汊湖,(江汉杨汊湖)姑嫂树9号,武汉天昌物业管理有限公司,武汉鑫龙物业发展总公司,23,1395,114.26225071134,30.63827636024,114.250372409765,30.6344846469393,6,2003,3,0.7
电信宿舍(东湖高新),14820,东湖高新,关山大道,(东湖高新关山大道)SBI创业街特1栋旁,无物业管理服务,无开发商,1,42,114.41947003623,30.50680400232,114.407331435222,30.5034265654338,0,1999,1,-1.0
菩提苑一期,14822,江夏,文化大道,(江夏文化大道)文化路与金樱街交汇处（汉口学院正对面）,武汉赢远资产管理有限公司,武汉海兴房地产开发有限公司,16,1779,114.327911,30.421313,114.315921464589,30.4179041926225,0,2012,1,1.5
崇仁路108号,14826,硚口,集贤,(硚口集贤)崇仁路108号,暂无信息,暂无信息,1,97,114.268962,30.577065,114.257103552877,30.5734076280201,1,0,0,-1.0
邮政小区(江汉),14827,江汉,长港路,(江汉长港路)双洞正街邮政小区,无物业管理服务,无开发商,3,286,114.26228126582,30.630456459232,114.250404250562,30.6266686245154,2,1995,1,-1.0
珞狮路198号,14827,洪山,街道口,(洪山街道口)珞狮路198号,暂无信息,暂无信息,1,32,114.356486,30.521967,114.344547126272,30.5180280924417,0,0,1,-1.0
香港路175号,14829,江岸,台北香港路,(江岸台北香港路)香港路175号,暂无信息,暂无信息,1,42,114.292548,30.608391,114.280557415836,30.6050862899586,0,0,1,-1.0
安乐巷小区,14831,硚口,汉正街,(硚口汉正街)安乐巷8到9号,无物业管理服务,武汉市市政建设集团有限公司,2,36,114.279581,30.574763,114.267673747635,30.5712882096201,6,0,1,-1.0
华星融城二期,14833,东西湖,将军路,(东西湖将军路)姑李路88号,武汉美好物业管理有限公司,武汉华星房地产有限公司,5,964,114.261231,30.649948,114.249359370839,30.6461394670512,0,2014,1,1.9
永清路26号,14833,江岸,黄埔永清,(江岸黄埔永清)永清路26号,暂无信息,暂无信息,1,42,114.305647,30.620601,114.293609634944,30.6173586838869,8,0,0,-1.0
望才里,14839,江岸,唐家墩,(江岸唐家墩)江大路望才里,业主自筹物业,武汉地产开发投资集团有限公司,17,795,114.28973231259,30.626144115362,114.277737176903,30.6227949679048,8,1993,1,0.5
八一花园,14840,东湖高新,关西长职,(东湖高新关西长职)荣院路八一花园,无物业管理服务,武汉市市政建设集团有限公司,12,4655,114.394906,30.498609,114.382863126308,30.4948941228834,0,2002,3,-1.0
长虹桥武昌监狱宿舍,14849,洪山,老南湖,"(洪山老南湖)南湖路长虹桥武昌监狱宿舍, 江宏新村19号",暂无信息,暂无信息,2,15,114.318824,30.523665,114.306792629632,30.5203668946975,7,0,3,-1.0
家福庭苑,14850,汉阳,七里庙,(汉阳七里庙)汉阳大道王家湾224到228号,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,5,98,114.222548,30.569728,114.210620504879,30.5660717830647,4,1997,1,0.6
汉中西路21到23号,14857,硚口,宝丰崇仁,(硚口宝丰崇仁)汉中西路21到23号,暂无信息,暂无信息,1,70,114.261994,30.572965,114.250160223809,30.5692059491502,1,0,1,-1.0
华电大厦,14861,江岸,唐家墩,(江岸唐家墩)发展大道405号,业主自筹物业,无开发商,2,171,114.28673,30.627753,114.274747224219,30.6243618838407,8,1999,2,0.6
汉中西路120号,14864,硚口,宝丰崇仁,(硚口宝丰崇仁)汉中西路120号,无物业管理服务,无开发商,2,91,114.26262011094,30.573087628176,114.250784508544,30.5693367891001,1,1998,2,-1.0
电力社区(江汉),14865,江汉,宝丰崇仁,(江汉宝丰崇仁)航空路妙墩路电力社区,街道办事处（居委会）代管物业,无开发商,19,904,114.265984,30.596656,114.254125236047,30.5929416665057,2,1992,3,0.5
知音路4号,14874,汉阳,王家湾,(汉阳王家湾)知音路4号,暂无信息,暂无信息,1,62,114.215923,30.575209,114.203949095071,30.5716586135954,0,0,0,-1.0
列电社区,14882,洪山,白沙洲,(洪山白沙洲)江盛路110号,武汉列电社区物业管理有限公司,暂无信息,15,529,114.301231,30.511724,114.289205712017,30.5085127343151,0,1998,3,0.6
宏宇绿色新都,14884,江岸,后湖,(江岸后湖)后湖金桥大道特1号,武汉格林物业管理有限公司,无开发商,38,1754,114.30214817504,30.657182275904,114.290118214679,30.6539221141978,3,2006,1,1.2
关东康居园,14886,东湖高新,华科大,(东湖高新华科大)武黄路418号,业主自筹物业,武汉汇峰房地产开发有限公司,38,1656,114.44261880264,30.509269317531,114.430534027952,30.5058159681586,0,1999,2,0.32
科技馆宿舍,14887,江岸,后湖,"(江岸后湖)建设大道1083, 赵家条144号",暂无信息,暂无信息,4,67,114.307619,30.628905,114.295574147176,30.6256548387727,3,0,0,-1.0
新长江京华国际,14888,江汉,塔子湖,(江汉塔子湖)姑嫂树路和兴业路交界处,武汉世博宏成物业管理有限公司,武汉世博宏成置业有限公司,1,272,114.27353,30.631489,114.261608783752,30.6278770449924,6,2016,2,3.5
世茂龙湾3期,14890,蔡甸,蔡甸其它,(蔡甸蔡甸其它)武汉市蔡甸区天鹅湖大道158号,世茂天成物业服务集团有限公司武汉分公司,武汉世茂嘉年华置业有限公司,27,188,114.09418418878,30.512343137181,114.081916520496,30.5086945305758,0,2000,1,3.0
发展公寓,14890,江汉,CBD西北湖,(江汉CBD西北湖)后襄河一路发展公寓,暂无信息,暂无信息,1,72,114.25811,30.618418,114.246250944016,30.6145876777491,0,0,0,-1.0
国信新城三期,14896,汉阳,七里庙,(汉阳七里庙)琴台大道505号,狮城怡安物管公司,武汉国信房地产发展有限公司,11,682,114.227028,30.573767,114.215130302689,30.5700425491253,0,2000,3,1.0
新地东方广场,14903,江岸,后湖,(江岸后湖)兴业路与后湖五路交汇处（地铁三号线兴业路站旁）,武汉新地物业管理有限公司,武汉新地置业发展有限公司,3,591,114.306091,30.646054,114.294047482051,30.6427996967241,3,2017,3,3.5
鑫园大厦,14903,洪山,青山,(洪山青山)祥丰路122号,暂无信息,暂无信息,1,136,114.386903,30.618727,114.374890804564,30.6148410533722,0,0,0,-1.0
新大陆城市花园,14909,江汉,唐家墩,(江汉唐家墩)唐家墩路201号,武汉新大陆物业管理有限公司,武汉新大陆物业发展有限公司,7,217,114.275674,30.625367,114.263745607303,30.6217954393702,6,2001,1,0.68
德富花园,14910,江汉,CBD西北湖,(江汉CBD西北湖)北湖西路4号,湖北富华房地产开发建设有限公司,武汉市江汉区房地产公司,2,154,114.2718216623,30.60755805286,114.259927508926,30.6039311463412,3,2000,2,0.8
利济西巷4到8号,14912,硚口,集贤,(硚口集贤)利济西巷4到8号,暂无信息,暂无信息,1,48,114.277444,30.577397,114.265546895612,30.5738844750892,6,2003,1,1.0
铁机教师楼,14913,武昌,杨园,(武昌杨园)铁机村特2号,暂无信息,暂无信息,1,14,114.368033,30.609357,114.356097232254,30.6053261423724,0,0,0,-1.0
常青花园十三区,14914,东西湖,常青花园,(东西湖常青花园)香樟三路二街6附3号,武汉康居物业有限责任公司,武汉新世界康居发展有限公司,27,1068,114.24410115124,30.648047706477,114.232235744451,30.6441397902092,2,1998,3,0.8
桃花源,14914,东湖高新,光谷东,(东湖高新光谷东)生物园西路18号,武汉华远物业管理有限公司,武汉光谷地产有限公司,23,2284,114.542707,30.483866,114.530947334903,30.4807890942148,11,2012,1,1.9
佳源花都二期,14916,东湖高新,光谷东,(东湖高新光谷东)高新二路128号,武汉顺民物业管理有限公司,武汉顺民房地产开发有限责任公司,22,2233,114.45397084447,30.47851203357,114.441987736917,30.4749086887527,0,2007,3,0.8
江大路长荡子住宅楼,14922,江岸,育才花桥,(江岸育才花桥)华桥街江大路长荡子1-4号,暂无信息,暂无信息,1,80,114.301155,30.625285,114.289122267262,30.6220332905564,8,1999,1,-1.0
龙苑澜岸,14923,江夏,藏龙岛,(江夏藏龙岛)栗庙路龙苑澜岸,武汉万宏达物业管理有限公司,湖北房地产投资集团怡龙苑项目有限公司,36,972,114.43075053086,30.409524630594,114.418630687873,30.4061921728342,0,2014,3,1.6
综合社区探矿宿舍,14924,硚口,宗关,(硚口宗关)沿河大道,无物业管理服务,武汉市市政建设集团有限公司,3,210,114.22705288304,30.588732335594,114.215150069616,30.5850009002766,1,1992,1,-1.0
存留巷6号,14926,硚口,宝丰崇仁,(硚口宝丰崇仁)存留巷6号,暂无信息,暂无信息,1,25,114.265164,30.571497,114.253319992646,30.5677824394741,0,0,1,-1.0
湖北省出版社宿舍,14929,江汉,CBD西北湖,(江汉CBD西北湖)青年路277号,单位代管物业,武汉市市政建设集团有限公司,2,85,114.269072,30.606176,114.257191153189,30.602504108242,2,1998,1,0.5
东兴里,14935,东西湖,吴家山,(东西湖吴家山)吴家山,暂无信息,暂无信息,7,244,114.15683913476,30.629828128288,114.144659526677,30.6261370804543,1,2000,1,-1.0
吾行里,14935,青山,青山,(青山青山)和平大道与建设二路交汇处,蓝光嘉宝物业集团,湖北鸿敬恒翔置业发展有限公司,4,1143,114.381802,30.629996,114.369806321259,30.6260361635652,0,2017,3,4.4
伏虎山休养所,14939,洪山,虎泉杨家湾,(洪山虎泉杨家湾)珞喻路500号,暂无信息,暂无信息,2,60,114.386894,30.52225,114.37488378581,30.5183970628973,0,0,1,-1.0
黄金海岸,14940,东西湖,金银湖,(东西湖金银湖)环湖路70号,武汉楚龙物业管理有限公司,湖北汇丰置业有限责任公司,40,432,114.218685,30.666485,114.206704241751,30.6628468776777,0,2003,1,0.7
开来东方华庭,14942,汉阳,钟家村,(汉阳钟家村)马沧湖路58号,无物业管理服务,武汉开来房地产开发有限公司,1,96,114.25438098243,30.551393625001,114.242550037429,30.5475596681178,4,2006,2,-1.0
市政宿舍(洪山),14942,洪山,中南丁字桥,(洪山中南丁字桥)丁字桥101号,无物业管理服务,武汉市市政建设集团有限公司,3,98,114.335816,30.52633,114.32382935578,30.5227383999123,0,1998,1,-1.0
澜花语岸,14943,洪山,珞狮南路,(洪山珞狮南路)珞狮南路澜花语岸,武汉丽岛物业管理有限公司,湖北致远集团股份有限公司,10,872,114.34898975084,30.486760826903,114.337059758955,30.4829391430429,0,2006,3,1.2
鹦鹉大道149到394号,14944,汉阳,钟家村,(汉阳钟家村)鹦鹉大道149到394号,无物业管理服务,无开发商,15,611,114.272695,30.544537,114.260802351898,30.5409481620219,6,1997,3,-1.0
东风阳光城三期,14945,沌口开发区,沌口,(沌口开发区沌口)沌口开发区,暂无信息,暂无信息,33,1088,114.15858740391,30.502236964912,114.146419134558,30.4986265351474,0,2006,1,1.5
康欣楼,14947,武昌,武昌火车站,(武昌武昌火车站)丁字桥路72号,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,1,21,114.335151,30.529806,114.323164021935,30.526227030062,0,2001,1,0.8
九天公寓,14947,洪山,楚河汉街,(洪山楚河汉街)中北路九天公寓,暂无信息,暂无信息,1,70,114.350309,30.565292,114.338392175807,30.561429167255,0,0,2,0.5
钢都公寓,14947,洪山,青山,(洪山青山)祥丰路钢都公寓,暂无信息,暂无信息,2,102,114.389588,30.617023,114.377563793598,30.6131790864088,4,2008,1,2.0
阳光大厦,14950,江汉,新华路万达,(江汉新华路万达)唐家墩路46号,无物业管理服务,武汉市正荣物业管理有限公司,1,56,114.27859128346,30.618242498702,114.266654280869,30.6147257293611,6,2006,2,-1.0
天上人间,14951,江岸,后湖,(江岸后湖)兴业南路6号,武汉新地物业管理有限公司,武汉新地置业发展有限公司,9,277,114.3048258117,30.640487290396,114.292782389636,30.6372354330617,3,2002,1,0.3
航空小路61到74号,14954,江汉,宝丰崇仁,(江汉宝丰崇仁)航空小路61到74号,无物业管理服务,无开发商,5,191,114.267785,30.598129,114.255917945272,30.5944416598897,2,1996,2,-1.0
既济电力商城,14955,硚口,汉正街,(硚口汉正街)利济路2号,业主自筹物业,湖北既济电力集团有限公司,3,315,114.28153,30.569179,114.269612572337,30.5657387250546,6,2007,2,1.2
绿苑小区,14960,青山,青山,(青山青山)随州街11附21,武汉市兴城物业管理有限公司,武汉市青山区房地产总公司,15,822,114.41380060137,30.63140543781,114.40165925258,30.6279320390656,0,2000,3,0.5
星火名苑,14968,武昌,白沙洲,(武昌白沙洲)万福林街星火名苑,街道办事处（居委会）代管物业,武汉市星城房地产开发公司,14,408,114.3024695009,30.522770901168,114.290441326238,30.5195600711831,0,2003,1,1.0
